"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"14D","1414 DEGREES LIMITED","2018-09-12","Capital Goods",16142837
"1AD","ADALTA LIMITED","2016-08-22","Pharmaceuticals, Biotechnology & Life Sciences",18536900
"1AE","AURORA ENERGY METALS LIMITED","2022-05-18","Materials",39218022
"1AG","ALTERRA LIMITED","2008-05-16","Food, Beverage & Tobacco",4181644
"1MC","MORELLA CORPORATION LIMITED","2001-01-08","Materials",150110206
"1ST","1ST GROUP LIMITED","2015-06-09","Health Care Equipment & Services",5541538
"1VG","VICTORY GOLDFIELDS LIMITED","2021-07-22","Materials",6349648
"29M","29METALS LIMITED","2021-07-02","Materials",1261056804
"2BE","TUBI LIMITED","2019-06-14","Energy","N/A"
"360","LIFE360 INC.","2019-05-10","Software & Services",699486021
"3DA","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods",45656730
"3DP","POINTERRA LIMITED","2008-03-27","Software & Services",149117365
"3MF","3D METALFORGE LIMITED","2021-03-02","Commercial & Professional Services",6165877
"3PL","3P LEARNING LIMITED..","2014-07-09","Consumer Services",417491097
"4DS","4DS MEMORY LIMITED","2010-12-09","Semiconductors & Semiconductor Equipment",129074959
"4DX","4DMEDICAL LIMITED","2020-08-07","Health Care Equipment & Services",184057398
"5EA","5E ADVANCED MATERIALS INC.","2022-03-01","Materials",1344083423
"5GG","PENTANET LIMITED","2021-01-29","Telecommunication Services",76907405
"88E","88 ENERGY LIMITED","2000-01-20","Energy",190622489
"8CO","8COMMON LIMITED","2014-08-27","Software & Services",21269737
"8IH","8I HOLDINGS LTD","2014-12-17","Diversified Financials",37627379
"8VI","8VI HOLDINGS LIMITED","2015-12-16","Consumer Services",71836510
"92E","92 ENERGY LIMITED","2021-04-15","Energy",41068072
"99L","99 LOYALTY LIMITED.","2013-10-08","Software & Services",32471117
"9SP","9 SPOKES INTERNATIONAL LIMITED","2016-06-09","Software & Services",5226680
"A1G","AFRICAN GOLD LTD.","2019-02-14","Materials",16717446
"A1M","AIC MINES LIMITED","1993-11-04","Materials",175996060
"A2B","A2B AUSTRALIA LIMITED","1999-12-14","Transportation",135778365
"A2M","THE A2 MILK COMPANY LIMITED","2015-03-31","Food, Beverage & Tobacco",3108484287
"A3D","AURORA LABS LIMITED","2016-08-16","Capital Goods",11878195
"A4N","ALPHA HPA LIMITED","2007-10-22","Materials",441495076
"A8G","AUSTRALASIAN METALS LIMITED","2021-05-13","Materials",18242173
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","2001-08-10","Food, Beverage & Tobacco",1072924810
"AAJ","ARUMA RESOURCES LIMITED","2010-07-23","Materials",12556920
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","2004-01-07","Food, Beverage & Tobacco",7932586
"AAR","ASTRAL RESOURCES NL","1986-11-13","Materials",50079056
"AAU","ANTILLES GOLD LIMITED","1993-11-25","Materials",21911108
"AB1","ABARTA RESOURCES LIMITED",,"Materials",0
"ABA","AUSWIDE BANK LTD","1994-09-19","Banks",305731014
"ABB","AUSSIE BROADBAND LIMITED","2020-10-16","Telecommunication Services",955245123
"ABC","ADBRI LIMITED","1962-05-31","Materials",1840409705
"ABE","AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","2021-12-06","Diversified Financials",40487643
"ABP","ABACUS PROPERTY GROUP","2002-11-14","Real Estate",2641590201
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","2002-05-28","Automobiles & Components",11374463
"ABX","ABX GROUP LIMITED","2009-12-24","Materials",38010438
"ABY","ADORE BEAUTY GROUP LIMITED","2020-10-23","Retailing",128009316
"AC8","AUSCANN GROUP HOLDINGS LTD","1989-05-03","Pharmaceuticals, Biotechnology & Life Sciences",25992279
"ACB","A-CAP ENERGY LIMITED","2006-05-19","Energy",110919158
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","2008-06-27","Capital Goods",122131449
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","2021-05-14","Health Care Equipment & Services",1128252144
"ACP","AUDALIA RESOURCES LIMITED","2011-07-06","Materials",8997770
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","2014-05-01","Not Applic",112774930
"ACR","ACRUX LIMITED","2004-09-29","Pharmaceuticals, Biotechnology & Life Sciences",19910590
"ACS","ACCENT RESOURCES NL","2005-08-26","Materials",27961637
"ACU","ACUMENTIS GROUP LIMITED","2003-12-05","Real Estate",22791268
"ACW","ACTINOGEN MEDICAL LIMITED","2007-10-16","Pharmaceuticals, Biotechnology & Life Sciences",133473286
"AD1","AD1 HOLDINGS LIMITED","2016-06-23","Media & Entertainment",12840473
"AD8","AUDINATE GROUP LIMITED","2017-06-30","Technology Hardware & Equipment",438634549
"ADA","ADACEL TECHNOLOGIES LIMITED","1998-02-27","Software & Services",70420559
"ADD","ADAVALE RESOURCES LIMITED","1992-02-06","Energy",10995410
"ADH","ADAIRS LIMITED","2015-06-17","Retailing",414585768
"ADN","ANDROMEDA METALS LIMITED","1996-09-17","Materials",301110805
"ADO","ANTEOTECH LTD","2000-04-07","Pharmaceuticals, Biotechnology & Life Sciences",228565352
"ADR","ADHERIUM LIMITED","2015-08-26","Health Care Equipment & Services",22082511
"ADS","ADSLOT LTD.","1987-12-17","Software & Services",35271658
"ADT","ADRIATIC METALS PLC","2018-05-01","Materials",591361913
"ADV","ARDIDEN LTD","2005-10-25","Materials",32020024
"ADX","ADX ENERGY LTD","1987-01-29","Energy",24409296
"ADY","ADMIRALTY RESOURCES NL.","1983-12-01","Materials",18250108
"AE1","AERISON GROUP LTD","2021-07-12","Capital Goods",44360936
"AEE","AURA ENERGY LIMITED","2006-05-30","Energy",93945203
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","2002-12-17","Diversified Financials",596775703
"AEG","ABSOLUTE EQUITY PERFORMANCE FUND LIMITED","2015-12-16","Not Applic",72303959
"AEI","AERIS ENVIRONMENTAL LTD","2000-09-12","Commercial & Professional Services",14418185
"AEN","AERAMENTUM RESOURCES LIMITED",,,0
"AER","AEERIS LTD","2015-04-01","Media & Entertainment",8590063
"AEV","AVENIRA LIMITED","2006-10-10","Materials",16017351
"AFA","ASF GROUP LIMITED","1985-05-29","Diversified Financials",31707452
"AFG","AUSTRALIAN FINANCE GROUP LTD","2015-05-22","Banks",508653578
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","1962-06-30","Not Applic",9925343889
"AFL","AF LEGAL GROUP LTD","2003-09-19","Commercial & Professional Services",29769047
"AFP","AFT PHARMACEUTICALS LIMITED","2015-12-22","Pharmaceuticals, Biotechnology & Life Sciences",314252280
"AFW","APPLYFLOW LIMITED","2010-11-30","Media & Entertainment",5915216
"AGC","AUSTRALIAN GOLD AND COPPER LTD","2021-01-20","Materials",8600000
"AGD","AUSTRAL GOLD LIMITED","1997-04-18","Materials",37963304
"AGE","ALLIGATOR ENERGY LIMITED","2011-02-03","Energy",216457196
"AGG","ANGLOGOLD ASHANTI LIMITED","1999-11-16","Materials",9496231562
"AGH","ALTHEA GROUP HOLDINGS LIMITED","2018-09-21","Pharmaceuticals, Biotechnology & Life Sciences",37863347
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","2001-12-17","Consumer Services",358685534
"AGJ","AGRICULTURAL LAND TRUST","2003-04-10","Real Estate","N/A"
"AGL","AGL ENERGY LIMITED.","2006-10-12","Utilities",5772171259
"AGN","ARGENICA THERAPEUTICS LIMITED","2021-06-11","Pharmaceuticals, Biotechnology & Life Sciences",38781293
"AGR","AGUIA RESOURCES LIMITED","2008-02-13","Materials",25193517
"AGS","ALLIANCE RESOURCES LIMITED","1994-10-19","Materials",40953448
"AGY","ARGOSY MINERALS LIMITED","1997-04-03","Materials",521581376
"AHC","AUSTCO HEALTHCARE LIMITED","2004-09-24","Health Care Equipment & Services",27273139
"AHF","AUSTRALIAN DAIRY NUTRITIONALS GROUP","2006-06-30","Food, Beverage & Tobacco",31753937
"AHI","ADVANCED HUMAN IMAGING LTD","2015-08-17","Software & Services",25846154
"AHK","ARK MINES LIMITED","2011-05-09","Materials",17177051
"AHN","ATHENA RESOURCES LIMITED","2006-11-22","Materials",5690773
"AHQ","ALLEGIANCE COAL LIMITED","2012-05-29","Materials",206604674
"AHX","APIAM ANIMAL HEALTH LIMITED","2015-12-15","Health Care Equipment & Services",109681905
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","1999-02-22","Transportation",9763014038
"AIB","AURORA GLOBAL INCOME TRUST","2007-12-24","Not Applic",721910
"AII","ALMONTY INDUSTRIES INC.","2021-08-02","Materials",181154908
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","2020-09-15","Commercial & Professional Services",74268639
"AIQ","ALTERNATIVE INVESTMENT TRUST","2005-05-08","Not Applic",30940220
"AIR","ASTIVITA LIMITED","2009-12-16","Capital Goods",14905184
"AIS","AERIS RESOURCES LIMITED","2011-02-02","Materials",266377634
"AIV","ACTIVEX LIMITED","2006-04-11","Materials",10593926
"AIZ","AIR NEW ZEALAND LIMITED","1997-10-01","Transportation",2037920911
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","2007-03-19","Health Care Equipment & Services","N/A"
